file_path,label
/home/elicer/emotion_project/emotion_wav/000-001.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-002.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-003.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-004.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-005.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-006.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-007.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-008.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-009.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-010.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-012.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-014.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-015.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-017.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-021.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-037.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-038.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-045.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-047.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-048.wav,Happiness
/home/elicer/emotion_project/emotion_wav/000-051.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-052.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-053.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-055.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-056.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-061.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-062.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-063.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-066.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-070.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-072.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-076.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-083.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-087.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-088.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-089.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-091.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-092.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-097.wav,Surprise
/home/elicer/emotion_project/emotion_wav/000-099.wav,Surprise
